OBJECTID,StreamName,UpdatedBy,UpdatedDat,SHAPE_area,SHAPE_len
13,Perennial Stream,Amber,2014-02-10,93093.0594909,5599.877571
442,South St Vrain Creek,MMM,2014-02-10,988.202842939,550.812873035
468,South St Vrain Creek,MMM,2014-02-10,1421.8294292,1250.40318544
512,South St Vrain Creek,MMM,2014-02-10,1138.71503358,632.572431473
697,Middle St Vrain Creek,MMM,2014-02-13,468111.208231,49476.6789482
1075,St Vrain Creek,AH,2014-02-13,950767.049344,38324.4195214
754,Intermittent Stream,MMM,2014-02-13,39304.9345937,13065.7034852
1120,Intermittent Stream,MMM,2014-02-14,16167.4617209,10729.9983515
663,Deadmans Gulch,MMM,2014-02-10,13038.6235903,4621.61835091
92,Coffintop Gulch,MMM,2014-02-11,15215.5623657,4198.38925064
1224,Coffintop Gulch,MMM,2014-02-14,10505.9341034,1873.39851647
1236,Central Gulch,MMM,2014-02-14,260591.654005,25777.9171161
1354,Intermittent Stream,MMM,2014-02-14,1087.03256044,341.933110577
915,Left Hand Creek,MMM,2014-02-18,6058.57206077,769.747421158
992,South Boulder Creek,Carmen,2014-03-15,122449.389425,8708.32155983
1529,Spring Gulch,MMM,2014-02-19,39782.3766021,7613.82867014
1950,Bell Gulch,MMM,2014-02-21,15177.4356803,2448.04684375
812,James Creek,MMM,2014-02-18,365006.920057,39810.5222748
1685,Moorhead Gulch,MMM,2014-02-27,8074.41529615,919.46175367
1664,James Creek,MMM,2014-02-27,80978.4337878,7085.27671756
1691,James Creek,MMM,2014-02-27,142803.240977,12364.1198288
2097,Little James Creek,MMM,2014-02-24,38800.151023,6553.85023358
1873,Little James Creek,MMM,2014-03-10,10562.140899,1630.18984846
1878,Little James Creek,MMM,2014-03-10,19100.2320756,3744.75675166
1894,Little James Creek,MMM,2014-03-10,22206.8167618,4502.62130025
2376,Sixmile Canyon,MMM,2014-03-11,2816.7893698,522.492089121
2375,Sixmile Canyon,MMM,2014-03-11,1567.75099817,398.761988122
2385,Sixmile Canyon,MMM,2014-03-11,2822.69204065,793.948691609
2378,Sixmile Canyon,MMM,2014-03-11,4122.27725903,1207.75804729
2368,Sixmile Canyon,MMM,2014-03-11,24573.9046018,4767.07200103
2409,Sixmile Canyon,MMM,2014-03-11,21922.7649153,4519.21304533
2433,Little James Creek,MMM,2014-03-11,1690.25807027,345.930107996
2434,Little James Creek,MMM,2014-03-11,4037.51586951,797.911883561
2126,James Creek,MMM,2014-03-11,542258.760549,63459.9712001
2751,South St Vrain Creek,MMM,2014-03-13,469907.812214,46268.0742625
2807,Middle St Vrain Creek,MMM,2014-03-14,522236.20977,61035.5387114
3244,canal/ditch-intermittent,MMM,2014-03-17,8147.96878882,1762.16198355
3325,lateral,MMM,2014-03-17,30714.3104328,2664.58391395
3334,Boulder Creek,MMM,2014-03-17,47617.9861155,3137.94546419
3382,Boulder & Weld Co Ditch,MMM,2014-03-18,22888.9184863,3276.49091536
3262,Coal Creek,MMM,2014-03-17,139628.38312,19688.8694632
3418,Lower Boulder Ditch,MMM,2014-03-20,458315.326152,46822.4648696
786,St Vrain Creek,AH,2014-03-21,591219.9077,19878.6828198
3619,South Boulder Creek,MMM,2014-03-19,62879.4761765,5441.39016572
3123,Twomile Canyon,AH,2014-03-24,37904.4698333,14240.0501234
1,North St Vrain Creek,Amber,2014-02-07,3270318.28844,118009.748335
4142,Dry St Vrain Creek,AH,2014-03-26,218984.63339,38942.6653604
3113,South Boulder Creek,MMM,2014-03-24,77992.423479,12707.20642
3905,South Boulder Creek,MMM,2014-03-24,8323.59724074,1262.35695363
3914,South Boulder Creek,MMM,2014-03-24,3423.16450287,246.800062271
3915,South Boulder Creek,MMM,2014-03-24,7013.77013696,789.358490089
3920,South Boulder Creek,MMM,2014-03-24,47076.0507265,4496.0992175
4000,canal/ditch-intermittent,MMM,2014-03-24,4754.50348905,1457.66084975
4141,Intermittent Stream,AH,2014-03-26,8845.94077482,5077.70755083
3127,Spring Gulch,AH,2014-03-25,26225.0651558,10183.267883
3129,North St Vrain Creek,AH,2014-03-25,1138894.60818,59798.7860531
4696,Dry Creek Davidson Ditch,MMM,2014-04-08,5202.92047376,1699.43732099
3744,Dry Creek,MMM,2014-04-01,235286.357468,53680.8495309
5209,Dry Creek,MMM,2014-04-04,68876.1768661,11559.8956809
5301,New Dry Creek Ditch,MMM,2014-04-04,20103.0324972,3730.56910862
5975,Coal Creek,MMM,2014-04-16,30068.6346468,6801.35460914
6043,Coal Creek,MMM,2014-04-16,19044.6550156,4693.01240324
5302,Dry Creek,MMM,2014-04-08,174792.393848,65109.2474098
5520,Left Hand Creek,Carmen,2014-04-15,3198.3188742,426.590783244
6225,Coal Creek,MMM,2014-08-11,2663.62383418,432.061230446
6251,Coal Creek,MMM,2014-08-11,3832.32539836,498.97142166
6147,Coal Creek,MMM,2014-04-17,404921.160599,65871.5136624
