OBJECTID,StreamName,UpdatedBy,UpdatedDat,SHAPE_area,SHAPE_len
1,North St Vrain Creek,David,2013-11-06,30012.5909172,1670.25711625
899,,,,10.5005534572,66.582889996
928,,,,7.2246465802,13.4293899792
415,St Vrain Creek,Amber,2013-11-14,1699057.25196,77490.9716634
1240,North St Vrain Creek,Amber,2013-11-14,1001081.93771,58682.1029954
421,South Boulder Creek,,2013-11-15,167415.696975,13785.4910216
1587,South Boulder Creek,WJT,2013-11-18,719319.186762,49142.7472658
786,Boulder Creek,WJT,2013-11-13,356941.996705,22082.6753218
1740,,,,14.8879200019,27.5460053297
1840,Lefthand Creek,Carmen,2013-11-14,4657.97822927,536.727603861
2174,,,,5.5052599912,16.4792922967
2128,Fourmile Creek,WJT,2013-11-21,269385.348014,41847.2746768
1645,Fourmile Canyon Creek,Amber,2013-12-04,40126.6273087,19614.028486
2442,St Vrain Creek,MMM,2013-12-03,210189.583514,9472.3691762
2479,Highland Ditch,MMM,2013-12-03,72122.4347639,7194.74997691
2507,North St Vrain Creek,MMM,2013-12-03,265776.167112,16043.524556
1394,Left Hand Creek,MMM,2013-12-03,939217.903082,106271.912262
2463,St Vrain Supply Canal,MMM,2013-12-05,311838.220095,29409.9632155
2849,St Vrain Supply Canal,MMM,2013-12-04,3027.50339859,311.473754609
2850,St Vrain Supply Canal,MMM,2013-12-04,4565.83025245,664.286337324
2044,St Vrain Supply Canal,MMM,2013-12-04,2683.22389061,601.431199205
2846,St Vrain Supply Canal,MMM,2013-12-04,6431.46957947,1800.05616635
3621,Perennial Stream,MMM,2013-12-12,37137.5522226,8148.35891875
3060,North St Vrain Creek,MMM,2013-12-09,2915368.96407,188873.314206
3664,Perennial Stream,MMM,2013-12-12,21224.8847071,3879.41822722
3665,Perennial Stream,MMM,2013-12-12,10542.5417344,2398.45503913
3511,Ouzel Creek,MMM,2013-12-12,299036.263241,37155.0162984
3708,Beaver Creek,MMM,2013-12-12,2962.49039379,691.403780793
2020,Gold Run,Carmen,2013-12-03,413031.028357,34644.6490073
2855,Fourmile Creek,Carmen,2013-12-12,384859.242547,59046.8263785
3951,Gold Lake Fill Ditch,MMM,2013-12-23,29363.3815533,9613.9745936
3216,James Creek,MMM,2013-12-23,882403.24209,121110.790738
2041,Twomile Canyon,Amber,,12421.3424538,11846.9595458
4090,South St Vrain Creek,MMM,2013-12-26,2850778.89166,281897.918486
4209,South St Vrain Creek,MMM,2013-12-26,83774.4194743,7756.33347256
4225,South St Vrain Creek,MMM,2013-12-26,50063.9124766,9743.99509275
4263,South St Vrain Creek,MMM,2013-12-26,30244.6999462,5678.75888867
1028,Middle St Vrain Creek,MMM,2013-12-27,2046261.12358,190501.455093
4474,St Vrain Supply Canal,MMM,2013-12-27,30489.2079442,4816.54899988
981,LITTLE THOMPSON,Carmen,2013-11-07,592733.321249,47180.2712499
4804,Dry Creek,MMM,2014-01-06,225125.831231,75705.3658478
1199,Lefthand Creek,Carmen,2013-11-14,958533.857266,115095.676324
